statename,2020-12-31
Alabama,13.329528226477805
Arizona,-33.797165077306886
Arkansas,8.568198218685666
California,114.23951375393744
Colorado,-242.14143024243003
Connecticut,-166.66660656331055
Delaware,-192.4784356667236
Florida,48.994254575596756
Georgia,78.59722646446318
Idaho,-252.04934987175704
Illinois,-202.38944798406317
Indiana,-248.96270138737736
Iowa,-131.03625955321797
Kansas,-113.86149440612508
Kentucky,-194.7162586493174
Louisiana,10.924492306115326
Maine,50.64039643406585
Maryland,-69.7900933275613
Massachusetts,-24.96501322834797
Michigan,-252.10276723840997
Minnesota,-372.54203820391115
Mississippi,-23.064321424383365
Missouri,-131.23226397581715
Montana,-286.64244853200836
Nebraska,-235.54640858746313
Nevada,-196.99837095449539
New Hampshire,-82.7381700964396
New Jersey,-82.83832188747539
New Mexico,-216.7899378401521
New York,63.774588988764435
North Carolina,9.916015165401063
North Dakota,-273.50605518786057
Ohio,-275.757512798859
Oklahoma,-25.705087480875022
Oregon,-79.59583200998208
Pennsylvania,-175.79857540663625
Rhode Island,-398.4207730617119
South Carolina,69.67065673375646
South Dakota,-313.4379622947534
Tennessee,-119.29909615925533
Texas,28.427683031452375
Utah,-112.7142473036588
Vermont,-22.436292947471827
Virginia,15.908313751713763
Washington,-9.783459859514778
West Virginia,-24.352275311599442
Wisconsin,-219.76572487922203
Wyoming,-209.68510702579647
